display concept,category
2d design,1
3d design,1
3d model,1
3d object,1
3d print,1
Carvey - CNC,1
Gravit - 2d design,1
LED light,2
MDF wood,8
TinkerCAD - 3d design,1
actuator,2
aluminum,8
battery,2
brainstorm,5
button,2
cardboard,8
cassett type,3
casting,9
chisel,9
circuit,2
code,4
computational thinking,4
compute,4
cotton,8
debug,5
disassemble,5
dissect,5
drill,9
elastic energy,3
elastic force,3
electronics,2
fabric,8
fidget spinner,3
fiducial marker,4
fitting,5
gear,3
geometry,3
gogo board,2
graphics,4
hammer,9
handheld tool,9
heart beat sensor,2
hot glue gun,9
humid sensor,2
inclined plan,3
iterate,5
laser cut,1
learning goal,5
learning process,5
light sensor,2
light source,2
logic gate,4
magnet,8
measure,3
memory allocation,4
mesh structure,3
metal,8
mobius strip,3
model of learner,5
molding,9
motor,2
number system,3
p5js,4
parchment paper,8
plastic,8
problem-solve,5
prototype,5
proximity sensor,2
pseudocode,4
pulley system,3
ramp,3
recycle,5
redesign,5
reflect,5
remix,4
repair,5
repurpose,5
resin - 3d print,1
rethink,5
rubber,8
screw,9
sensor,2
servo,2
signal broadcast,2
silicon,8
simple machine,3
sketch,5
sound library,4
steel,8
stuck point,5
switch,2
temperature sensor,2
test,5
thermometer,2
trial-and-error,5
user interview,5
vacuum form,1
vinyl cut,1
wheel,3
wood,8
woodshop,9
